"COMPANY","BUSINESSUNIT","ASSET","ASSETNAME","EQUIPMENTTYPE","PARENTASSET","COMPANYLEVEL"
"ORANGE","MAD-ULISE","400009004","CL_25_UTA_P2_RC 5 MSC2 PASILLO TÉC.","CLPCIP","600003951",7
"ORANGE","MAD-ULISE","400009020","CL_10_UTA_P1_RC 6 MSC1 PASILLO TÉC.","CLPCIP","600003951",7
"ORANGE","MAD-ULISE","400009007","CL_24_UTA_P2_RC 7 MSC2 PASILLO TÉC.","CLPCIP","600003951",7
"ORANGE","MAD-ULISE","400009143","CLC_18_P2_FANCOIL_1 P2","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009118","CLC_26_P3_FANCOIL_1 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009131","CLC_52_P4_FANCOIL_1 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009106","CLC_00_P0_FANCOIL_1 PB","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009109","CLC_10_P1_FANCOIL_10 P1","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009127","CLC_35_P3_FANCOIL_10 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009140","CLC_61_P4_FANCOIL_10 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009110","CLC_11_P1_FANCOIL_11 P1","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009128","CLC_36_P3_FANCOIL_11 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009141","CLC_62_P4_FANCOIL_11 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009111","CLC_12_P1_FANCOIL_12 P1","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009129","CLC_37_P3_FANCOIL_12 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009142","CLC_63_P4_FANCOIL_12 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009112","CLC_13_P1_FANCOIL_13 P1","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","400009130","CLC_38_P3_FANCOIL_13 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","501386681","CLC_64_P4_FANCOIL_13 P4","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","501386689","CLC_39_P3_FANCOIL_14 P3","CLCFNC","400009090",7
"ORANGE","MAD-ULISE","501386682","CLC_65_P4_FANCOIL_14 P4","CLCFNC","400009090",7
